general_puntaje,mesa_id,mesa_puntaje,mozo_id,mozo_puntaje,comida_puntaje,descripcion
9,8,5,3,3,6,"Striking against unsp object w subsequent fall, subs encntr"
6,11,6,43,9,8,Hymenolepiasis
5,6,6,16,5,4,Local infection due to central venous catheter
8,6,1,16,10,2,Other anemias
4,5,9,3,1,3,"War operations involving firearms pellets, civilian, subs"
2,8,10,43,4,7,"Nondisp fx of dist phalanx of finger, subs for fx w malunion"
5,5,9,43,8,6,Immunodeficiency with increased immunoglobulin M [IgM]
10,6,8,27,2,5,"Disp fx of shaft of third metacarpal bone, right hand"
7,8,1,27,2,1,Unspecified fracture of fourth cervical vertebra
5,5,4,27,10,4,"Contracture of muscle, unspecified lower leg"
4,9,2,16,8,7,Strain of flexor musc/fasc/tend finger at wrs/hnd lv
10,10,8,3,10,5,"Drug-induced gout, ankle and foot"
3,8,4,3,4,6,Other disorders of peritoneum
3,11,4,3,7,3,"Myopathy of extraocular muscles, left orbit"
7,10,2,29,2,6,"Toxic effect of unsp halgn deriv of aromat hydrocrb, slf-hrm"
2,11,3,3,6,9,"Corrosion of unsp deg mult sites of left wrs/hnd, init"
1,6,7,16,8,1,"Burn of unspecified degree of right axilla, subs encntr"
2,5,2,29,6,3,"External constriction of right wrist, initial encounter"
8,7,5,16,2,1,"Displ oblique fx shaft of r fibula, 7thG"
8,5,6,43,7,1,"Displ seg fx shaft of ulna, r arm, 7thC"
10,11,10,43,10,10,"Sprain of other part of unspecified wrist and hand, sequela"
1,5,6,27,3,2,"Myositis ossificans progressiva, unspecified arm"
6,8,8,3,3,3,"Moderate laceration of unsp part of pancreas, subs encntr"
9,9,5,29,10,1,"Underdosing of macrolides, subsequent encounter"
10,7,7,27,9,3,Oil rig as the place of occurrence of the external cause
3,7,4,16,5,7,"Crushing injury of right lower leg, sequela"
3,8,2,16,6,7,"Displ oblique fx shaft of r rad, 7thD"
